entryH,SL,TP,maxHold,n,skipped,winRate,avgPnL,medPnL,se,t,tpCount,slCount,timeoutCount,timeoutWin,timeoutLoss,timeoutRate,bothTouched
72,25,8,14,814,12,75.55,1.061,7.960,0.441,2.40,592,140,82,23,59,10.1,1
72,25,10,3,814,12,66.09,0.997,9.960,0.428,2.33,412,117,285,126,159,35.0,0
72,25,10,7,814,12,70.27,1.460,9.960,0.464,3.15,504,140,170,68,102,20.9,0
72,25,10,14,814,12,72.48,1.468,9.960,0.490,3.00,557,160,97,33,64,11.9,0
72,25,15,3,814,12,60.69,1.043,3.324,0.502,2.08,285,143,386,209,177,47.4,1
72,25,15,7,814,12,63.64,1.721,12.877,0.565,3.05,406,179,229,112,117,28.1,1
72,25,15,14,814,12,64.86,1.820,14.960,0.600,3.04,458,208,148,70,78,18.2,1
72,25,20,3,814,12,57.99,1.048,2.182,0.542,1.93,186,152,476,286,190,58.5,0
72,25,20,7,814,12,59.71,1.923,4.798,0.629,3.06,304,198,312,182,130,38.3,0
72,25,20,14,814,12,60.07,2.156,9.341,0.683,3.16,375,239,200,114,86,24.6,0
72,25,30,3,814,12,56.27,0.823,1.635,0.569,1.45,61,156,597,397,200,73.3,0
72,25,30,7,814,12,56.63,1.806,2.902,0.700,2.58,150,217,447,311,136,54.9,0
72,25,30,14,814,12,54.42,2.162,2.532,0.792,2.73,227,273,314,216,98,38.6,0
72,30,3,3,814,12,84.28,0.180,2.960,0.280,0.64,668,45,101,18,83,12.4,0
72,30,3,7,814,12,87.84,0.291,2.960,0.294,0.99,710,53,51,5,46,6.3,0
72,30,3,14,814,12,89.68,0.289,2.960,0.303,0.95,726,58,30,4,26,3.7,0
72,30,5,3,814,12,77.03,0.502,4.960,0.341,1.47,580,62,172,47,125,21.1,0
72,30,5,7,814,12,82.06,0.709,4.960,0.364,1.95,649,74,91,19,72,11.2,0
72,30,5,14,814,12,84.64,0.801,4.960,0.374,2.14,680,81,53,9,44,6.5,0
72,30,8,3,814,12,69.90,0.774,7.960,0.414,1.87,473,82,259,96,163,31.8,1
72,30,8,7,814,12,75.43,1.233,7.960,0.447,2.75,565,100,149,49,100,18.3,1
72,30,8,14,814,12,78.26,1.321,7.960,0.468,2.82,613,113,88,24,64,10.8,1
72,30,10,3,814,12,67.44,1.124,9.960,0.447,2.52,419,88,307,130,177,37.7,0
72,30,10,7,814,12,72.36,1.700,9.960,0.488,3.48,520,110,184,69,115,22.6,0
72,30,10,14,814,12,75.43,1.806,9.960,0.518,3.49,579,128,107,35,72,13.1,0
72,30,15,3,814,12,62.29,1.249,3.777,0.521,2.39,290,106,418,217,201,51.4,0
72,30,15,7,814,12,66.34,2.157,14.960,0.593,3.64,426,141,247,114,133,30.3,0
72,30,15,14,814,12,68.67,2.388,14.960,0.633,3.77,485,168,161,74,87,19.8,0
72,30,20,3,814,12,59.71,1.277,2.792,0.561,2.28,189,113,512,297,215,62.9,0
72,30,20,7,814,12,62.29,2.360,6.107,0.660,3.57,319,157,338,188,150,41.5,0
72,30,20,14,814,12,64.25,2.886,14.748,0.720,4.01,400,193,221,123,98,27.1,0
72,30,30,3,814,12,57.99,1.053,2.031,0.590,1.78,63,117,634,409,225,77.9,0
72,30,30,7,814,12,59.34,2.328,3.969,0.737,3.16,160,174,480,323,157,59.0,0
72,30,30,14,814,12,58.35,2.872,5.940,0.839,3.42,245,225,344,230,114,42.3,0
72,40,3,3,814,12,85.01,0.241,2.960,0.306,0.79,674,30,110,18,92,13.5,0
72,40,3,7,814,12,89.19,0.417,2.960,0.320,1.30,721,35,58,5,53,7.1,0
72,40,3,14,814,12,91.15,0.310,2.960,0.342,0.91,738,41,35,4,31,4.3,0
72,40,5,3,814,12,78.01,0.625,4.960,0.369,1.70,588,41,185,47,138,22.7,0
72,40,5,7,814,12,84.03,0.927,4.960,0.395,2.35,665,50,99,19,80,12.2,0
72,40,5,14,814,12,86.98,0.966,4.960,0.414,2.33,698,56,60,10,50,7.4,0
72,40,8,3,814,12,71.25,0.945,7.960,0.446,2.12,483,55,276,97,179,33.9,0
72,40,8,7,814,12,77.64,1.369,7.960,0.494,2.77,583,72,159,49,110,19.5,0
72,40,8,14,814,12,80.71,1.383,7.960,0.523,2.65,632,82,100,25,75,12.3,0
72,40,10,3,814,12,68.80,1.365,9.960,0.477,2.87,429,58,327,131,196,40.2,0
72,40,10,7,814,12,74.69,1.879,9.960,0.535,3.51,539,79,196,69,127,24.1,0
72,40,10,14,814,12,78.13,1.994,9.960,0.570,3.50,600,91,123,36,87,15.1,0
72,40,15,3,814,12,63.51,1.367,3.865,0.558,2.45,295,71,448,222,226,55.0,0
72,40,15,7,814,12,68.55,2.171,14.960,0.652,3.33,441,104,269,117,152,33.0,0
72,40,15,14,814,12,71.38,2.367,14.960,0.702,3.37,505,125,184,76,108,22.6,0
72,40,20,3,814,12,60.93,1.371,3.050,0.599,2.29,192,76,546,304,242,67.1,0
72,40,20,7,814,12,64.37,2.211,7.091,0.725,3.05,327,118,369,197,172,45.3,0
72,40,20,14,814,12,67.08,2.851,19.960,0.793,3.60,416,144,254,130,124,31.2,0
72,40,30,3,814,12,59.46,1.232,2.250,0.626,1.97,63,78,673,421,252,82.7,0
72,40,30,7,814,12,61.79,2.288,5.057,0.801,2.86,166,129,519,337,182,63.8,0
72,40,30,14,814,12,61.79,3.061,7.697,0.916,3.34,258,167,389,245,144,47.8,0
72,50,3,3,814,12,85.38,0.130,2.960,0.343,0.38,677,25,112,18,94,13.8,0
72,50,3,7,814,12,89.80,0.334,2.960,0.359,0.93,726,29,59,5,54,7.2,0
72,50,3,14,814,12,91.89,0.229,2.960,0.384,0.60,744,34,36,4,32,4.4,0
