symbol,contractType,status,baseAsset,t0Iso,origin,spotFirstIso,mexcFirstIso
ZETAUSDT,PERPETUAL,TRADING,ZETA,2024-02-02T08:00:00.000Z,A,,2024-02-01
RONINUSDT,PERPETUAL,TRADING,RONIN,2024-02-06T04:00:00.000Z,A,2024-02-05,
DYMUSDT,PERPETUAL,TRADING,DYM,2024-02-07T07:00:00.000Z,A,2024-02-06,2024-02-06
SUIUSDC,PERPETUAL,TRADING,SUI,2024-02-08T07:00:00.000Z,C,2023-05-03,2024-12-13
OMUSDT,PERPETUAL,SETTLING,OM,2024-02-13T14:00:00.000Z,U,,
LINKUSDC,PERPETUAL,TRADING,LINK,2024-02-16T08:00:00.000Z,C,2019-01-16,2024-12-11
PIXELUSDT,PERPETUAL,TRADING,PIXEL,2024-02-19T15:00:00.000Z,A,2024-02-19,2024-02-19
STRKUSDT,PERPETUAL,TRADING,STRK,2024-02-20T17:00:00.000Z,A,2024-02-20,2024-02-20
ORDIUSDC,PERPETUAL,TRADING,ORDI,2024-02-22T07:00:00.000Z,C,2023-11-07,2025-03-27
GLMUSDT,PERPETUAL,TRADING,GLM,2024-02-22T10:00:00.000Z,C,2023-03-17,2024-02-21
PORTALUSDT,PERPETUAL,TRADING,PORTAL,2024-02-29T15:00:00.000Z,A,2024-02-29,2024-02-29
TONUSDT,PERPETUAL,SETTLING,TON,2024-03-01T12:00:00.000Z,U,,
AXLUSDT,PERPETUAL,TRADING,AXL,2024-03-01T15:00:00.000Z,A,2024-03-01,2024-03-01
MYROUSDT,PERPETUAL,SETTLING,MYRO,2024-03-05T08:00:00.000Z,U,,
1000PEPEUSDC,PERPETUAL,TRADING,1000PEPE,2024-03-07T08:00:00.000Z,U,,
METISUSDT,PERPETUAL,TRADING,METIS,2024-03-12T08:00:00.000Z,B,2024-03-11,2023-12-29
AEVOUSDT,PERPETUAL,TRADING,AEVO,2024-03-13T13:00:00.000Z,A,2024-03-13,2024-03-13
VANRYUSDT,PERPETUAL,TRADING,VANRY,2024-03-13T17:00:00.000Z,C,2023-12-01,2024-03-13
WLDUSDC,PERPETUAL,TRADING,WLD,2024-03-14T07:00:00.000Z,C,2023-07-24,2023-07-24
BOMEUSDT,PERPETUAL,TRADING,BOME,2024-03-16T12:00:00.000Z,A,2024-03-16,2024-03-15
ETHFIUSDT,PERPETUAL,TRADING,ETHFI,2024-03-18T15:00:00.000Z,A,2024-03-18,2024-03-18
AVAXUSDC,PERPETUAL,TRADING,AVAX,2024-03-20T07:00:00.000Z,C,2020-09-22,2024-12-13
1000SHIBUSDC,PERPETUAL,TRADING,1000SHIB,2024-03-28T07:00:00.000Z,U,,
ENAUSDT,PERPETUAL,TRADING,ENA,2024-04-02T12:00:00.000Z,A,2024-04-02,2024-04-02
WUSDT,PERPETUAL,TRADING,W,2024-04-03T15:00:00.000Z,A,2024-04-03,2024-04-03
BCHUSDC,PERPETUAL,TRADING,BCH,2024-04-04T07:00:00.000Z,C,2019-11-28,2025-03-27
WIFUSDC,PERPETUAL,TRADING,WIF,2024-04-04T07:00:00.000Z,C,2024-03-05,2024-01-11
TNSRUSDT,PERPETUAL,TRADING,TNSR,2024-04-08T17:00:00.000Z,A,2024-04-08,2024-04-08
SAGAUSDT,PERPETUAL,TRADING,SAGA,2024-04-09T10:00:00.000Z,A,2024-04-09,2024-04-09
LTCUSDC,PERPETUAL,TRADING,LTC,2024-04-11T07:00:00.000Z,C,2017-12-13,2025-03-31
NEARUSDC,PERPETUAL,TRADING,NEAR,2024-04-11T07:00:00.000Z,C,2020-10-14,2025-04-01
TAOUSDT,PERPETUAL,TRADING,TAO,2024-04-11T14:00:00.000Z,B,2024-04-11,2024-01-31
OMNIUSDT,PERPETUAL,SETTLING,OMNI,2024-04-17T14:00:00.000Z,U,,
ARBUSDC,PERPETUAL,TRADING,ARB,2024-04-18T07:00:00.000Z,C,2023-03-23,2025-03-26
FILUSDC,PERPETUAL,TRADING,FIL,2024-04-18T07:00:00.000Z,C,2020-10-15,2025-03-31
NEOUSDC,PERPETUAL,TRADING,NEO,2024-04-18T07:00:00.000Z,C,2017-11-20,2025-03-31
BOMEUSDC,PERPETUAL,TRADING,BOME,2024-04-25T07:00:00.000Z,C,2024-03-16,2024-03-15
TIAUSDC,PERPETUAL,TRADING,TIA,2024-04-25T07:00:00.000Z,C,2023-10-31,2023-10-31
REZUSDT,PERPETUAL,TRADING,REZ,2024-04-30T14:00:00.000Z,A,2024-04-30,2024-04-30
1000BONKUSDC,PERPETUAL,TRADING,1000BONK,2024-05-02T07:00:00.000Z,A,,2025-03-27
ENAUSDC,PERPETUAL,TRADING,ENA,2024-05-02T07:00:00.000Z,C,2024-04-02,2024-04-02
ETHFIUSDC,PERPETUAL,TRADING,ETHFI,2024-05-02T07:00:00.000Z,C,2024-03-18,2024-03-18
BBUSDT,PERPETUAL,TRADING,BB,2024-05-13T12:00:00.000Z,A,2024-05-13,2024-05-13
NOTUSDT,PERPETUAL,TRADING,NOT,2024-05-16T14:00:00.000Z,A,2024-05-16,2024-05-16
TURBOUSDT,PERPETUAL,TRADING,TURBO,2024-05-30T15:00:00.000Z,B,2024-09-16,2023-05-05
IOUSDT,PERPETUAL,TRADING,IO,2024-06-11T14:00:00.000Z,A,2024-06-11,2024-06-11
ZKUSDT,PERPETUAL,TRADING,ZK,2024-06-17T11:00:00.000Z,A,2024-06-17,
MEWUSDT,PERPETUAL,TRADING,MEW,2024-06-17T14:00:00.000Z,B,,2024-04-15
LISTAUSDT,PERPETUAL,TRADING,LISTA,2024-06-20T12:00:00.000Z,A,2024-06-20,2024-06-20
ZROUSDT,PERPETUAL,TRADING,ZRO,2024-06-20T14:00:00.000Z,A,2024-06-20,2024-06-20
CRVUSDC,PERPETUAL,TRADING,CRV,2024-07-04T07:00:00.000Z,C,2020-08-15,2025-03-27
RENDERUSDT,PERPETUAL,TRADING,RENDER,2024-07-26T10:00:00.000Z,A,2024-07-26,2024-07-26
BANANAUSDT,PERPETUAL,TRADING,BANANA,2024-08-15T02:00:00.000Z,B,2024-07-20,2024-07-20
GUSDT,PERPETUAL,TRADING,G,2024-08-15T12:00:00.000Z,B,2024-07-19,2024-07-25
RAREUSDT,PERPETUAL,TRADING,RARE,2024-08-15T13:00:00.000Z,C,2021-10-11,2023-11-27
SYNUSDT,PERPETUAL,TRADING,SYN,2024-08-16T12:00:00.000Z,C,2023-02-22,2023-02-23
SYSUSDT,PERPETUAL,SETTLING,SYS,2024-08-19T12:00:00.000Z,U,,
BRETTUSDT,PERPETUAL,TRADING,BRETT,2024-08-20T10:00:00.000Z,B,,2024-04-26
VOXELUSDT,PERPETUAL,SETTLING,VOXEL,2024-08-20T10:00:00.000Z,U,,
ALPACAUSDT,PERPETUAL,SETTLING,ALPACA,2024-08-22T10:00:00.000Z,U,,
POPCATUSDT,PERPETUAL,TRADING,POPCAT,2024-08-22T13:00:00.000Z,B,,2024-04-02
SUNUSDT,PERPETUAL,TRADING,SUN,2024-08-22T13:00:00.000Z,C,2020-09-21,2020-09-25
VIDTUSDT,PERPETUAL,SETTLING,VIDT,2024-08-23T09:00:00.000Z,U,,
NULSUSDT,PERPETUAL,SETTLING,NULS,2024-08-26T08:00:00.000Z,U,,
DOGSUSDT,PERPETUAL,TRADING,DOGS,2024-08-26T12:00:00.000Z,A,2024-08-26,2024-08-26
MBOXUSDT,PERPETUAL,SETTLING,MBOX,2024-08-28T09:00:00.000Z,U,,
CHESSUSDT,PERPETUAL,SETTLING,CHESS,2024-08-29T07:00:00.000Z,U,,
FLUXUSDT,PERPETUAL,TRADING,FLUX,2024-09-03T07:00:00.000Z,C,2021-12-10,2021-12-10
BSWUSDT,PERPETUAL,SETTLING,BSW,2024-09-05T06:00:00.000Z,U,,
QUICKUSDT,PERPETUAL,SETTLING,QUICK,2024-09-06T05:00:00.000Z,C,2021-08-13,
NEIROETHUSDT,PERPETUAL,SETTLING,NEIROETH,2024-09-06T14:00:00.000Z,U,,
RPLUSDT,PERPETUAL,TRADING,RPL,2024-09-09T12:00:00.000Z,C,2023-01-18,2023-03-27
POLUSDT,PERPETUAL,TRADING,POL,2024-09-13T12:00:00.000Z,B,2024-09-13,2024-09-04
UXLINKUSDT,PERPETUAL,SETTLING,UXLINK,2024-09-15T15:00:00.000Z,U,,
1MBABYDOGEUSDT,PERPETUAL,TRADING,1MBABYDOGE,2024-09-16T11:00:00.000Z,A,2024-09-16,
NEIROUSDT,PERPETUAL,TRADING,NEIRO,2024-09-16T11:00:00.000Z,A,2024-09-16,
KDAUSDT,PERPETUAL,SETTLING,KDA,2024-09-18T13:00:00.000Z,U,,
FIDAUSDT,PERPETUAL,TRADING,FIDA,2024-09-19T12:00:00.000Z,C,2021-09-30,2022-07-25
CATIUSDT,PERPETUAL,TRADING,CATI,2024-09-20T11:00:00.000Z,A,2024-09-20,2024-09-20
FIOUSDT,PERPETUAL,SETTLING,FIO,2024-09-20T11:00:00.000Z,U,,
GHSTUSDT,PERPETUAL,SETTLING,GHST,2024-09-23T13:00:00.000Z,U,,
LOKAUSDT,PERPETUAL,SETTLING,LOKA,2024-09-24T11:00:00.000Z,U,,
HMSTRUSDT,PERPETUAL,TRADING,HMSTR,2024-09-26T12:00:00.000Z,A,2024-09-26,2024-09-26
REIUSDT,PERPETUAL,SETTLING,REI,2024-09-27T11:00:00.000Z,U,,
COSUSDT,PERPETUAL,SETTLING,COS,2024-09-30T13:00:00.000Z,U,,
EIGENUSDT,PERPETUAL,TRADING,EIGEN,2024-10-01T06:00:00.000Z,A,2024-10-01,2024-10-01
DIAUSDT,PERPETUAL,TRADING,DIA,2024-10-02T12:00:00.000Z,C,2020-09-04,2024-09-30
1000CATUSDT,PERPETUAL,TRADING,1000CAT,2024-10-21T12:00:00.000Z,A,2024-12-17,
SCRUSDT,PERPETUAL,TRADING,SCR,2024-10-22T10:00:00.000Z,A,2024-10-11,2024-10-22
GOATUSDT,PERPETUAL,TRADING,GOAT,2024-10-24T13:00:00.000Z,B,,2024-10-17
MOODENGUSDT,PERPETUAL,TRADING,MOODENG,2024-10-25T10:00:00.000Z,B,,2024-09-26
SAFEUSDT,PERPETUAL,TRADING,SAFE,2024-10-25T12:00:00.000Z,B,,2024-04-29
SANTOSUSDT,PERPETUAL,TRADING,SANTOS,2024-10-28T14:00:00.000Z,C,2021-12-01,2022-08-19
TROYUSDT,PERPETUAL,SETTLING,TROY,2024-10-31T13:00:00.000Z,U,,
PONKEUSDT,PERPETUAL,SETTLING,PONKE,2024-11-04T12:00:00.000Z,U,,
COWUSDT,PERPETUAL,TRADING,COW,2024-11-06T13:00:00.000Z,A,2024-11-06,2024-11-06
CETUSUSDT,PERPETUAL,TRADING,CETUS,2024-11-06T14:00:00.000Z,B,2024-11-06,2023-05-11
1000000MOGUSDT,PERPETUAL,TRADING,1000000MOG,2024-11-07T12:00:00.000Z,B,,2024-06-04
DRIFTUSDT,PERPETUAL,TRADING,DRIFT,2024-11-08T15:00:00.000Z,B,,2024-05-21
GRASSUSDT,PERPETUAL,TRADING,GRASS,2024-11-08T15:00:00.000Z,B,,2024-10-28
SWELLUSDT,PERPETUAL,SETTLING,SWELL,2024-11-08T16:00:00.000Z,U,,
ACTUSDT,PERPETUAL,TRADING,ACT,2024-11-11T12:00:00.000Z,A,2024-11-11,2024-11-11
PNUTUSDT,PERPETUAL,TRADING,PNUT,2024-11-11T12:00:00.000Z,A,2024-11-11,2024-11-06
1000XUSDT,PERPETUAL,SETTLING,1000X,2024-11-13T12:00:00.000Z,U,,
HIPPOUSDT,PERPETUAL,SETTLING,HIPPO,2024-11-13T12:00:00.000Z,U,,
DEGENUSDT,PERPETUAL,SETTLING,DEGEN,2024-11-15T11:00:00.000Z,U,,
AKTUSDT,PERPETUAL,TRADING,AKT,2024-11-18T11:00:00.000Z,B,,2024-07-26
BANUSDT,PERPETUAL,TRADING,BAN,2024-11-18T11:00:00.000Z,A,,2024-11-14
SCRTUSDT,PERPETUAL,TRADING,SCRT,2024-11-21T11:00:00.000Z,C,2022-01-21,2022-01-18
SLERFUSDT,PERPETUAL,SETTLING,SLERF,2024-11-21T11:00:00.000Z,U,,
1000CHEEMSUSDT,PERPETUAL,TRADING,1000CHEEMS,2024-11-25T11:00:00.000Z,A,2025-02-09,
1000WHYUSDT,PERPETUAL,SETTLING,1000WHY,2024-11-25T11:00:00.000Z,U,,
THEUSDT,PERPETUAL,TRADING,THE,2024-11-27T12:00:00.000Z,A,2024-11-27,2024-11-27
CHILLGUYUSDT,PERPETUAL,TRADING,CHILLGUY,2024-11-27T14:00:00.000Z,A,,2024-11-21
MORPHOUSDT,PERPETUAL,TRADING,MORPHO,2024-11-27T14:00:00.000Z,A,2025-10-03,2024-11-21
AEROUSDT,PERPETUAL,TRADING,AERO,2024-12-04T14:00:00.000Z,B,,2024-07-15
KAIAUSDT,PERPETUAL,TRADING,KAIA,2024-12-04T14:00:00.000Z,C,2024-10-31,2024-10-31
ACXUSDT,PERPETUAL,TRADING,ACX,2024-12-06T15:00:00.000Z,A,2024-12-06,2024-12-06
ORCAUSDT,PERPETUAL,TRADING,ORCA,2024-12-06T15:00:00.000Z,B,2024-12-06,2024-07-22
MOVEUSDT,PERPETUAL,TRADING,MOVE,2024-12-09T14:00:00.000Z,A,2024-12-09,2024-12-09
KOMAUSDT,PERPETUAL,TRADING,KOMA,2024-12-10T12:00:00.000Z,A,,2024-12-10
RAYSOLUSDT,PERPETUAL,TRADING,RAYSOL,2024-12-10T12:00:00.000Z,U,,
SPXUSDT,PERPETUAL,TRADING,SPX,2024-12-10T12:00:00.000Z,B,,2024-10-29
VIRTUALUSDT,PERPETUAL,TRADING,VIRTUAL,2024-12-10T12:00:00.000Z,B,2025-04-11,2024-11-01
MEUSDT,PERPETUAL,TRADING,ME,2024-12-10T17:00:00.000Z,A,2024-12-10,2024-12-10
AVAUSDT,PERPETUAL,TRADING,AVA,2024-12-13T13:00:00.000Z,C,2020-11-24,2024-12-03
DEGOUSDT,PERPETUAL,SETTLING,DEGO,2024-12-13T13:00:00.000Z,U,,
VELODROMEUSDT,PERPETUAL,TRADING,VELODROME,2024-12-13T16:00:00.000Z,B,2024-12-13,2024-11-07
MOCAUSDT,PERPETUAL,TRADING,MOCA,2024-12-16T11:00:00.000Z,B,,2024-07-12
VANAUSDT,PERPETUAL,TRADING,VANA,2024-12-16T13:00:00.000Z,A,2024-12-16,2024-12-16
PENGUUSDT,PERPETUAL,TRADING,PENGU,2024-12-17T16:00:00.000Z,A,2024-12-17,2024-12-17
LUMIAUSDT,PERPETUAL,TRADING,LUMIA,2024-12-18T11:00:00.000Z,C,2024-10-18,2024-10-18
USUALUSDT,PERPETUAL,TRADING,USUAL,2024-12-18T13:00:00.000Z,A,2024-11-19,2024-12-18
AIXBTUSDT,PERPETUAL,TRADING,AIXBT,2024-12-20T18:00:00.000Z,B,2025-01-10,2024-12-03
FARTCOINUSDT,PERPETUAL,TRADING,FARTCOIN,2024-12-20T18:00:00.000Z,B,,2024-10-25
CGPTUSDT,PERPETUAL,TRADING,CGPT,2024-12-20T19:00:00.000Z,B,2025-01-10,2023-04-11
KMNOUSDT,PERPETUAL,TRADING,KMNO,2024-12-20T19:00:00.000Z,B,2025-05-06,2024-10-09
HIVEUSDT,PERPETUAL,TRADING,HIVE,2024-12-23T11:00:00.000Z,C,2020-04-27,2021-11-26
DEXEUSDT,PERPETUAL,TRADING,DEXE,2024-12-24T11:00:00.000Z,C,2021-07-23,2026-06-23
DFUSDT,PERPETUAL,SETTLING,DF,2024-12-30T11:00:00.000Z,U,,
PHAUSDT,PERPETUAL,TRADING,PHA,2024-12-30T11:00:00.000Z,C,2021-06-25,2024-05-31
AI16ZUSDT,PERPETUAL,SETTLING,AI16Z,2025-01-02T13:00:00.000Z,U,,
GRIFFAINUSDT,PERPETUAL,TRADING,GRIFFAIN,2025-01-02T13:00:00.000Z,B,,2024-12-16
ZEREBROUSDT,PERPETUAL,TRADING,ZEREBRO,2025-01-02T14:00:00.000Z,B,,2024-12-13
BIOUSDT,PERPETUAL,TRADING,BIO,2025-01-03T12:00:00.000Z,A,2025-01-03,2025-01-03
ALCHUSDT,PERPETUAL,TRADING,ALCH,2025-01-07T11:00:00.000Z,A,,2025-01-02
COOKIEUSDT,PERPETUAL,TRADING,COOKIE,2025-01-07T11:00:00.000Z,A,2025-01-10,2025-01-02
SWARMSUSDT,PERPETUAL,TRADING,SWARMS,2025-01-07T12:00:00.000Z,A,,2025-01-02
SONICUSDT,PERPETUAL,TRADING,SONIC,2025-01-08T07:00:00.000Z,A,,2025-01-07
DUSDT,PERPETUAL,SETTLING,D,2025-01-09T10:00:00.000Z,U,,
PROMUSDT,PERPETUAL,TRADING,PROM,2025-01-15T12:00:00.000Z,C,2023-03-17,2023-12-15
SUSDT,PERPETUAL,TRADING,S,2025-01-16T10:00:00.000Z,A,2025-01-16,2025-01-10
SOLVUSDT,PERPETUAL,TRADING,SOLV,2025-01-17T12:00:00.000Z,A,2025-01-17,2025-01-17
ARCUSDT,PERPETUAL,TRADING,ARC,2025-01-17T13:00:00.000Z,U,,
AVAAIUSDT,PERPETUAL,TRADING,AVAAI,2025-01-17T13:00:00.000Z,B,,2025-01-02
TRUMPUSDT,PERPETUAL,TRADING,TRUMP,2025-01-18T13:00:00.000Z,A,2025-01-19,2025-03-25
MELANIAUSDT,PERPETUAL,TRADING,MELANIA,2025-01-20T09:00:00.000Z,A,,2025-01-20
VTHOUSDT,PERPETUAL,TRADING,VTHO,2025-01-22T09:00:00.000Z,C,2020-07-17,2024-02-19
ANIMEUSDT,PERPETUAL,TRADING,ANIME,2025-01-23T17:00:00.000Z,A,2025-01-23,2025-01-23
PIPPINUSDT,PERPETUAL,TRADING,PIPPIN,2025-01-24T10:00:00.000Z,B,,2025-01-09
VINEUSDT,PERPETUAL,SETTLING,VINE,2025-01-24T10:00:00.000Z,A,,2025-01-23
VVVUSDT,PERPETUAL,TRADING,VVV,2025-01-29T08:00:00.000Z,A,,2025-01-28
BERAUSDT,PERPETUAL,TRADING,BERA,2025-02-06T15:00:00.000Z,A,2025-02-06,2025-02-06
TSTUSDT,PERPETUAL,TRADING,TST,2025-02-09T13:00:00.000Z,A,2025-02-09,2025-02-08
LAYERUSDT,PERPETUAL,TRADING,LAYER,2025-02-11T15:00:00.000Z,A,2025-02-11,2025-02-11
HEIUSDT,PERPETUAL,TRADING,HEI,2025-02-13T09:00:00.000Z,A,2025-02-13,2025-02-13
B3USDT,PERPETUAL,SETTLING,B3,2025-02-13T11:00:00.000Z,A,,2025-02-10
IPUSDT,PERPETUAL,SETTLING,IP,2025-02-13T17:00:00.000Z,U,,
GPSUSDT,PERPETUAL,TRADING,GPS,2025-02-17T17:00:00.000Z,B,2025-03-04,2025-01-16
SHELLUSDT,PERPETUAL,TRADING,SHELL,2025-02-17T17:00:00.000Z,A,2025-02-27,2025-02-13
KAITOUSDT,PERPETUAL,TRADING,KAITO,2025-02-20T13:00:00.000Z,A,2025-02-20,2025-02-20
IPUSDC,PERPETUAL,SETTLING,IP,2025-03-05T10:00:00.000Z,U,,
KAITOUSDC,PERPETUAL,TRADING,KAITO,2025-03-05T10:00:00.000Z,B,2025-02-20,2025-02-20
ADAUSDC,PERPETUAL,TRADING,ADA,2025-03-06T10:00:00.000Z,C,2018-04-17,2025-03-28
TRUMPUSDC,PERPETUAL,TRADING,TRUMP,2025-03-06T10:00:00.000Z,C,2025-01-19,2025-03-25
REDUSDT,PERPETUAL,TRADING,RED,2025-03-06T16:00:00.000Z,A,2025-02-28,2025-03-06
HBARUSDC,PERPETUAL,TRADING,HBAR,2025-03-07T10:00:00.000Z,C,2019-09-29,2025-03-26
PNUTUSDC,PERPETUAL,TRADING,PNUT,2025-03-07T10:00:00.000Z,C,2024-11-11,2024-11-06
VICUSDT,PERPETUAL,TRADING,VIC,2025-03-12T17:00:00.000Z,C,2023-11-24,2024-08-28
EPICUSDT,PERPETUAL,TRADING,EPIC,2025-03-13T08:00:00.000Z,A,2025-03-13,2025-03-13
BMTUSDT,PERPETUAL,TRADING,BMT,2025-03-17T13:00:00.000Z,A,2025-03-18,2025-03-11
MUBARAKUSDT,PERPETUAL,TRADING,MUBARAK,2025-03-17T13:00:00.000Z,A,2025-03-27,2025-03-15
FORMUSDT,PERPETUAL,TRADING,FORM,2025-03-19T08:00:00.000Z,A,2025-03-19,2025-03-19
BIDUSDT,PERPETUAL,SETTLING,BID,2025-03-20T09:00:00.000Z,U,,
TUTUSDT,PERPETUAL,TRADING,TUT,2025-03-20T09:00:00.000Z,A,2025-03-27,2025-03-18
BROCCOLI714USDT,PERPETUAL,TRADING,BROCCOLI714,2025-03-21T09:00:00.000Z,A,2025-03-27,
BROCCOLIF3BUSDT,PERPETUAL,TRADING,BROCCOLIF3B,2025-03-21T09:00:00.000Z,B,,2025-02-19
BRUSDT,PERPETUAL,TRADING,BR,2025-03-21T12:00:00.000Z,A,,2025-03-20
PLUMEUSDT,PERPETUAL,TRADING,PLUME,2025-03-21T13:00:00.000Z,B,2025-08-18,2025-01-21
BANANAS31USDT,PERPETUAL,TRADING,BANANAS31,2025-03-22T09:00:00.000Z,A,2025-03-27,2025-03-20
SIRENUSDT,PERPETUAL,TRADING,SIREN,2025-03-22T09:00:00.000Z,A,,2025-03-20
NILUSDT,PERPETUAL,TRADING,NIL,2025-03-24T13:00:00.000Z,A,2025-03-24,2025-03-24
PARTIUSDT,PERPETUAL,TRADING,PARTI,2025-03-25T13:00:00.000Z,A,2025-03-25,2025-03-25
JELLYJELLYUSDT,PERPETUAL,TRADING,JELLYJELLY,2025-03-26T16:00:00.000Z,B,,2025-01-30
MAVIAUSDT,PERPETUAL,TRADING,MAVIA,2025-03-26T17:00:00.000Z,B,,2024-02-08
PAXGUSDT,PERPETUAL,TRADING,PAXG,2025-03-27T10:00:00.000Z,C,2020-08-28,2025-11-06
WALUSDT,PERPETUAL,TRADING,WAL,2025-03-27T15:00:00.000Z,A,2025-10-10,2025-03-27
FUNUSDT,PERPETUAL,SETTLING,FUN,2025-03-31T08:00:00.000Z,U,,
MLNUSDT,PERPETUAL,SETTLING,MLN,2025-03-31T08:00:00.000Z,U,,
GUNUSDT,PERPETUAL,TRADING,GUN,2025-03-31T13:00:00.000Z,A,2025-03-31,2025-03-31
ATHUSDT,PERPETUAL,TRADING,ATH,2025-04-02T15:00:00.000Z,B,,2024-06-13
BABYUSDT,PERPETUAL,TRADING,BABY,2025-04-05T13:00:00.000Z,B,2025-04-10,2021-11-17
FORTHUSDT,PERPETUAL,SETTLING,FORTH,2025-04-08T08:00:00.000Z,U,,
PROMPTUSDT,PERPETUAL,TRADING,PROMPT,2025-04-11T06:00:00.000Z,A,,2025-04-10
XCNUSDT,PERPETUAL,SETTLING,XCN,2025-04-11T15:00:00.000Z,B,,2023-03-28
STOUSDT,PERPETUAL,TRADING,STO,2025-04-12T14:00:00.000Z,B,2025-05-02,2025-04-03
FHEUSDT,PERPETUAL,TRADING,FHE,2025-04-12T15:00:00.000Z,A,,2025-04-10
KERNELUSDT,PERPETUAL,TRADING,KERNEL,2025-04-14T12:00:00.000Z,A,2025-04-14,2025-04-14
WCTUSDT,PERPETUAL,TRADING,WCT,2025-04-15T11:00:00.000Z,A,2025-04-15,2025-04-15
INITUSDT,PERPETUAL,TRADING,INIT,2025-04-16T06:00:00.000Z,A,2025-04-24,2025-04-16
AERGOUSDT,PERPETUAL,TRADING,AERGO,2025-04-16T11:00:00.000Z,A,,2026-07-02
BANKUSDT,PERPETUAL,TRADING,BANK,2025-04-18T18:00:00.000Z,A,2025-11-13,2025-04-18
EPTUSDT,PERPETUAL,SETTLING,EPT,2025-04-21T13:00:00.000Z,U,,
DEEPUSDT,PERPETUAL,TRADING,DEEP,2025-04-22T08:00:00.000Z,B,,2024-10-14
HYPERUSDT,PERPETUAL,TRADING,HYPER,2025-04-22T13:00:00.000Z,A,2025-04-22,2025-04-22
FISUSDT,PERPETUAL,SETTLING,FIS,2025-04-25T07:00:00.000Z,U,,
MEMEFIUSDT,PERPETUAL,SETTLING,MEMEFI,2025-04-25T07:00:00.000Z,U,,
JSTUSDT,PERPETUAL,TRADING,JST,2025-04-28T09:00:00.000Z,C,2020-08-11,2022-02-04
SIGNUSDT,PERPETUAL,TRADING,SIGN,2025-04-28T11:00:00.000Z,A,2025-04-28,2025-04-28
CTKUSDT,PERPETUAL,TRADING,CTK,2025-04-30T10:00:00.000Z,C,2020-10-27,2020-11-19
PUNDIXUSDT,PERPETUAL,TRADING,PUNDIX,2025-04-30T10:00:00.000Z,C,2021-04-09,2022-09-14
AIOTUSDT,PERPETUAL,TRADING,AIOT,2025-04-30T12:00:00.000Z,A,,2025-04-25
DOLOUSDT,PERPETUAL,TRADING,DOLO,2025-05-01T03:00:00.000Z,A,2025-08-27,2025-04-24
HAEDALUSDT,PERPETUAL,TRADING,HAEDAL,2025-05-01T03:00:00.000Z,A,2025-05-21,2025-04-29
SXTUSDT,PERPETUAL,TRADING,SXT,2025-05-02T08:00:00.000Z,A,2025-05-08,2025-05-02
ALPINEUSDT,PERPETUAL,TRADING,ALPINE,2025-05-06T09:00:00.000Z,C,2022-02-21,2022-08-22
ASRUSDT,PERPETUAL,TRADING,ASR,2025-05-06T09:00:00.000Z,C,2020-12-30,2024-09-30
B2USDT,PERPETUAL,TRADING,B2,2025-05-06T13:00:00.000Z,A,,2025-04-30
MILKUSDT,PERPETUAL,SETTLING,MILK,2025-05-06T13:00:00.000Z,U,,
SYRUPUSDT,PERPETUAL,TRADING,SYRUP,2025-05-07T08:00:00.000Z,B,2025-05-06,2024-12-02
OBOLUSDT,PERPETUAL,SETTLING,OBOL,2025-05-07T10:00:00.000Z,U,,
DOODUSDT,PERPETUAL,TRADING,DOOD,2025-05-09T13:00:00.000Z,A,,2025-05-09
OGUSDT,PERPETUAL,TRADING,OG,2025-05-12T09:00:00.000Z,C,2020-12-30,2023-04-10
SKYAIUSDT,PERPETUAL,TRADING,SKYAI,2025-05-13T09:00:00.000Z,B,,2025-04-20
ZKJUSDT,PERPETUAL,SETTLING,ZKJ,2025-05-13T09:00:00.000Z,U,,
NXPCUSDT,PERPETUAL,TRADING,NXPC,2025-05-15T06:00:00.000Z,A,2025-05-15,2025-05-15
CVCUSDT,PERPETUAL,TRADING,CVC,2025-05-16T08:00:00.000Z,C,2019-08-27,2020-11-11
AGTUSDT,PERPETUAL,TRADING,AGT,2025-05-20T10:00:00.000Z,A,,2025-05-16
AWEUSDT,PERPETUAL,TRADING,AWE,2025-05-21T08:00:00.000Z,A,2025-05-21,2025-05-21
BUSDT,PERPETUAL,TRADING,B,2025-05-22T16:00:00.000Z,A,,2025-05-21
SOONUSDT,PERPETUAL,TRADING,SOON,2025-05-23T08:00:00.000Z,U,,
HUMAUSDT,PERPETUAL,TRADING,HUMA,2025-05-26T13:00:00.000Z,A,2025-05-26,2025-05-26
AUSDT,PERPETUAL,TRADING,A,2025-05-28T08:00:00.000Z,A,2025-05-28,2025-05-27
SOPHUSDT,PERPETUAL,TRADING,SOPH,2025-05-28T13:00:00.000Z,A,2025-05-28,2025-05-28
MERLUSDT,PERPETUAL,TRADING,MERL,2025-05-29T08:00:00.000Z,B,,2024-04-19
HYPEUSDT,PERPETUAL,TRADING,HYPE,2025-05-30T10:00:00.000Z,B,,2024-12-19
PORT3USDT,PERPETUAL,SETTLING,PORT3,2025-06-04T08:00:00.000Z,U,,
PUFFERUSDT,PERPETUAL,SETTLING,PUFFER,2025-06-04T08:00:00.000Z,B,,2024-10-14
1000000BOBUSDT,PERPETUAL,TRADING,1000000BOB,2025-06-05T08:00:00.000Z,U,,
