symbol,contractType,status,baseAsset,t0Iso,origin,spotFirstIso,mexcFirstIso
RENUSDT,PERPETUAL,SETTLING,REN,2020-10-13T07:00:00.000Z,U,,
KSMUSDT,PERPETUAL,TRADING,KSM,2020-10-14T07:00:00.000Z,C,2020-09-04,2020-10-22
NEARUSDT,PERPETUAL,TRADING,NEAR,2020-10-15T08:00:00.000Z,A,2020-10-14,2025-04-01
FILUSDT,PERPETUAL,TRADING,FIL,2020-10-16T06:00:00.000Z,A,2020-10-15,2025-03-31
AAVEUSDT,PERPETUAL,TRADING,AAVE,2020-10-16T07:00:00.000Z,A,2020-10-15,2025-05-26
LRCUSDT,PERPETUAL,SETTLING,LRC,2020-10-19T07:00:00.000Z,A,,2020-11-11
RSRUSDT,PERPETUAL,TRADING,RSR,2020-10-19T07:00:00.000Z,C,2020-08-27,2021-04-28
OCEANUSDT,PERPETUAL,SETTLING,OCEAN,2020-11-03T07:00:00.000Z,U,,
BELUSDT,PERPETUAL,TRADING,BEL,2020-11-18T07:00:00.000Z,C,2020-09-15,2022-06-14
AXSUSDT,PERPETUAL,TRADING,AXS,2020-11-20T07:00:00.000Z,A,2020-11-04,2020-11-20
ALPHAUSDT,PERPETUAL,SETTLING,ALPHA,2020-11-23T07:00:00.000Z,U,,
ZENUSDT,PERPETUAL,TRADING,ZEN,2020-11-24T07:00:00.000Z,C,2020-07-06,2020-11-24
SKLUSDT,PERPETUAL,TRADING,SKL,2020-12-08T07:00:00.000Z,A,2020-12-01,2020-12-09
GRTUSDT,PERPETUAL,TRADING,GRT,2020-12-19T07:00:00.000Z,A,2020-12-17,2020-12-19
1INCHUSDT,PERPETUAL,TRADING,1INCH,2020-12-25T10:00:00.000Z,A,2020-12-25,2020-12-25
CHZUSDT,PERPETUAL,TRADING,CHZ,2021-01-21T07:00:00.000Z,C,2019-09-06,2021-02-11
SANDUSDT,PERPETUAL,TRADING,SAND,2021-01-25T07:00:00.000Z,C,2020-08-14,2021-01-28
ANKRUSDT,PERPETUAL,TRADING,ANKR,2021-01-26T07:00:00.000Z,C,2019-07-23,2021-04-01
UNFIUSDT,PERPETUAL,SETTLING,UNFI,2021-02-19T07:00:00.000Z,U,,
REEFUSDT,PERPETUAL,SETTLING,REEF,2021-02-22T07:00:00.000Z,U,,
RVNUSDT,PERPETUAL,TRADING,RVN,2021-02-23T07:00:00.000Z,C,2019-09-25,2022-01-05
SFPUSDT,PERPETUAL,TRADING,SFP,2021-02-24T07:00:00.000Z,A,2021-02-08,2021-12-02
XEMUSDT,PERPETUAL,SETTLING,XEM,2021-03-03T07:00:00.000Z,U,,
COTIUSDT,PERPETUAL,TRADING,COTI,2021-03-10T07:00:00.000Z,C,2020-02-26,2021-03-10
CHRUSDT,PERPETUAL,TRADING,CHR,2021-03-12T07:00:00.000Z,C,2020-05-07,2021-11-05
MANAUSDT,PERPETUAL,TRADING,MANA,2021-03-15T07:00:00.000Z,C,2020-08-06,2021-04-01
ALICEUSDT,PERPETUAL,TRADING,ALICE,2021-03-16T03:00:00.000Z,A,2021-03-15,2021-03-17
HBARUSDT,PERPETUAL,TRADING,HBAR,2021-03-17T07:00:00.000Z,C,2019-09-29,2025-03-26
ONEUSDT,PERPETUAL,TRADING,ONE,2021-03-18T07:00:00.000Z,C,2019-06-01,2021-03-27
LINAUSDT,PERPETUAL,SETTLING,LINA,2021-03-19T07:00:00.000Z,U,,
STMXUSDT,PERPETUAL,SETTLING,STMX,2021-03-22T07:00:00.000Z,U,,
DENTUSDT,PERPETUAL,SETTLING,DENT,2021-03-24T04:00:00.000Z,U,,
CELRUSDT,PERPETUAL,TRADING,CELR,2021-03-29T07:00:00.000Z,C,2019-03-25,2021-03-30
HOTUSDT,PERPETUAL,TRADING,HOT,2021-03-30T07:00:00.000Z,C,2019-02-18,2021-03-30
MTLUSDT,PERPETUAL,TRADING,MTL,2021-03-31T07:00:00.000Z,C,2019-08-23,2021-04-01
OGNUSDT,PERPETUAL,TRADING,OGN,2021-04-01T07:00:00.000Z,C,2020-01-09,2021-04-02
NKNUSDT,PERPETUAL,SETTLING,NKN,2021-04-09T07:00:00.000Z,U,,
SCUSDT,PERPETUAL,SETTLING,SC,2021-04-12T07:00:00.000Z,C,2020-07-06,
DGBUSDT,PERPETUAL,SETTLING,DGB,2021-04-21T03:00:00.000Z,C,2020-07-20,
1000SHIBUSDT,PERPETUAL,TRADING,1000SHIB,2021-05-10T17:00:00.000Z,U,,
BAKEUSDT,PERPETUAL,SETTLING,BAKE,2021-05-19T07:00:00.000Z,U,,
GTCUSDT,PERPETUAL,TRADING,GTC,2021-06-11T03:00:00.000Z,A,2021-06-10,
BTCDOMUSDT,PERPETUAL,TRADING,BTCDOM,2021-06-21T03:00:00.000Z,U,,
IOTXUSDT,PERPETUAL,TRADING,IOTX,2021-08-12T03:00:00.000Z,C,2019-11-14,2021-08-12
RAYUSDT,PERPETUAL,SETTLING,RAY,2021-08-20T03:00:00.000Z,A,2021-08-10,2021-09-07
C98USDT,PERPETUAL,TRADING,C98,2021-08-24T03:00:00.000Z,C,2021-07-23,2021-07-28
MASKUSDT,PERPETUAL,TRADING,MASK,2021-08-27T03:00:00.000Z,C,2021-05-25,2021-08-27
ATAUSDT,PERPETUAL,SETTLING,ATA,2021-08-31T03:00:00.000Z,U,,
DYDXUSDT,PERPETUAL,TRADING,DYDX,2021-09-10T03:00:00.000Z,A,2021-09-09,2021-09-08
1000XECUSDT,PERPETUAL,TRADING,1000XEC,2021-09-17T03:00:00.000Z,U,,
GALAUSDT,PERPETUAL,TRADING,GALA,2021-09-18T03:00:00.000Z,A,2021-09-13,2021-09-16
CELOUSDT,PERPETUAL,TRADING,CELO,2021-09-27T03:00:00.000Z,C,2021-01-05,2021-09-24
ARUSDT,PERPETUAL,TRADING,AR,2021-09-28T03:00:00.000Z,C,2021-05-14,2021-11-03
KLAYUSDT,PERPETUAL,SETTLING,KLAY,2021-10-12T03:00:00.000Z,U,,
ARPAUSDT,PERPETUAL,TRADING,ARPA,2021-10-19T03:00:00.000Z,C,2019-11-06,2021-10-18
CTSIUSDT,PERPETUAL,TRADING,CTSI,2021-10-26T03:00:00.000Z,C,2020-04-23,2021-10-25
LPTUSDT,PERPETUAL,TRADING,LPT,2021-11-11T03:00:00.000Z,C,2021-05-28,2021-11-10
ENSUSDT,PERPETUAL,TRADING,ENS,2021-11-30T03:00:00.000Z,B,2021-11-10,2021-11-09
PEOPLEUSDT,PERPETUAL,TRADING,PEOPLE,2021-12-24T04:00:00.000Z,B,2021-12-23,2021-11-27
ROSEUSDT,PERPETUAL,TRADING,ROSE,2021-12-31T03:00:00.000Z,C,2020-11-19,2021-12-31
DUSKUSDT,PERPETUAL,TRADING,DUSK,2022-01-07T03:00:00.000Z,C,2019-07-22,2022-01-07
FLOWUSDT,PERPETUAL,TRADING,FLOW,2022-02-10T03:00:00.000Z,C,2021-07-30,2021-03-09
IMXUSDT,PERPETUAL,TRADING,IMX,2022-02-11T03:00:00.000Z,C,2022-01-10,2021-11-18
API3USDT,PERPETUAL,TRADING,API3,2022-02-22T03:00:00.000Z,C,2022-01-21,2022-02-22
GMTUSDT,PERPETUAL,TRADING,GMT,2022-03-15T04:00:00.000Z,A,2022-03-09,2022-03-15
APEUSDT,PERPETUAL,TRADING,APE,2022-03-17T15:00:00.000Z,A,2022-03-17,2022-03-17
WOOUSDT,PERPETUAL,TRADING,WOO,2022-04-08T03:00:00.000Z,C,2022-02-08,2022-01-04
FTTUSDT,PERPETUAL,SETTLING,FTT,2022-04-15T03:00:00.000Z,C,2019-12-20,
JASMYUSDT,PERPETUAL,TRADING,JASMY,2022-04-20T03:00:00.000Z,C,2021-11-22,2021-11-22
DARUSDT,PERPETUAL,SETTLING,DAR,2022-04-29T03:00:00.000Z,U,,
OPUSDT,PERPETUAL,TRADING,OP,2022-06-01T14:00:00.000Z,A,2022-06-01,2025-05-26
INJUSDT,PERPETUAL,TRADING,INJ,2022-08-17T02:00:00.000Z,C,2020-10-21,2025-07-30
STGUSDT,PERPETUAL,TRADING,STG,2022-08-25T12:00:00.000Z,A,2022-08-19,2022-08-19
SPELLUSDT,PERPETUAL,TRADING,SPELL,2022-09-06T12:00:00.000Z,C,2021-12-24,2021-12-07
1000LUNCUSDT,PERPETUAL,TRADING,1000LUNC,2022-09-09T13:00:00.000Z,U,,
LUNA2USDT,PERPETUAL,TRADING,LUNA2,2022-09-10T03:00:00.000Z,U,,
LDOUSDT,PERPETUAL,TRADING,LDO,2022-09-22T12:00:00.000Z,C,2022-05-09,2022-07-18
ICPUSDT,PERPETUAL,TRADING,ICP,2022-09-27T02:00:00.000Z,C,2021-05-11,2026-01-22
APTUSDT,PERPETUAL,TRADING,APT,2022-10-19T02:00:00.000Z,A,2022-10-19,2025-05-28
QNTUSDT,PERPETUAL,TRADING,QNT,2022-10-20T02:00:00.000Z,C,2021-07-29,2023-03-27
FETUSDT,PERPETUAL,TRADING,FET,2023-01-17T02:00:00.000Z,C,2019-02-28,2023-02-06
FXSUSDT,PERPETUAL,SETTLING,FXS,2023-01-20T03:00:00.000Z,U,,
HOOKUSDT,PERPETUAL,SETTLING,HOOK,2023-01-23T03:00:00.000Z,U,,
MAGICUSDT,PERPETUAL,TRADING,MAGIC,2023-01-25T03:00:00.000Z,C,2022-12-12,2022-12-13
TUSDT,PERPETUAL,TRADING,T,2023-02-01T13:00:00.000Z,C,2022-02-25,2023-03-15
HIGHUSDT,PERPETUAL,SETTLING,HIGH,2023-02-07T02:00:00.000Z,B,,2023-01-30
MINAUSDT,PERPETUAL,TRADING,MINA,2023-02-07T11:00:00.000Z,C,2021-08-10,2021-09-10
ASTRUSDT,PERPETUAL,TRADING,ASTR,2023-02-14T02:00:00.000Z,C,2022-02-28,2022-04-14
AGIXUSDT,PERPETUAL,SETTLING,AGIX,2023-02-16T14:00:00.000Z,U,,
PHBUSDT,PERPETUAL,SETTLING,PHB,2023-02-16T14:00:00.000Z,U,,
GMXUSDT,PERPETUAL,TRADING,GMX,2023-02-17T14:00:00.000Z,C,2022-10-05,2022-10-05
CFXUSDT,PERPETUAL,TRADING,CFX,2023-02-20T14:00:00.000Z,C,2021-03-29,2021-09-19
STXUSDT,PERPETUAL,TRADING,STX,2023-02-21T14:00:00.000Z,C,2019-10-25,2023-02-20
ACHUSDT,PERPETUAL,TRADING,ACH,2023-02-22T14:00:00.000Z,C,2022-01-10,2021-08-07
BNXUSDT,PERPETUAL,SETTLING,BNX,2023-02-22T14:00:00.000Z,U,,
SSVUSDT,PERPETUAL,TRADING,SSV,2023-02-24T12:00:00.000Z,A,2023-02-24,2023-03-09
CKBUSDT,PERPETUAL,TRADING,CKB,2023-02-28T12:00:00.000Z,C,2021-01-26,2023-03-21
PERPUSDT,PERPETUAL,SETTLING,PERP,2023-03-06T12:00:00.000Z,U,,
TRUUSDT,PERPETUAL,SETTLING,TRU,2023-03-07T12:00:00.000Z,U,,
LQTYUSDT,PERPETUAL,TRADING,LQTY,2023-03-10T12:00:00.000Z,A,2023-02-28,2023-03-09
USDCUSDT,PERPETUAL,TRADING,USDC,2023-03-12T17:00:00.000Z,C,2018-12-15,2023-03-11
IDUSDT,PERPETUAL,TRADING,ID,2023-03-23T14:00:00.000Z,A,2023-03-22,2023-03-22
