block,universe,regime,bucket,filter,dir,holdDays,n,mean,median,sd,se,t,winPct,maeP95,maeP99,exWorst10
regime,CRYPTO_NEW,R1 BTC 7d ret,UP (>=+5%),F0 no filter,long,29,74,12.1099,-6.1355,77.9330,9.0595,1.3367,48.65,222.157,451.211,23.2936
regime,CRYPTO_NEW,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,short,1,51,-7.4238,0.5938,34.5449,4.8372,-1.5347,52.94,82.290,203.440,4.1068
regime,CRYPTO_NEW,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,short,3,51,-4.8002,0.6823,42.4979,5.9509,-0.8066,52.94,133.786,324.915,8.9607
regime,CRYPTO_NEW,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,short,7,51,-5.5096,10.1968,59.4152,8.3198,-0.6622,62.75,212.833,422.974,16.0634
regime,CRYPTO_NEW,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,short,14,51,-0.7817,10.9211,46.7812,6.5507,-0.1193,58.82,225.849,422.974,17.4483
regime,CRYPTO_NEW,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,short,29,51,-2.1202,5.0669,47.8807,6.7046,-0.3162,58.82,240.951,422.974,16.1888
regime,CRYPTO_NEW,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,short,1,64,-3.0532,2.6786,31.3989,3.9249,-0.7779,59.38,90.143,217.049,7.5005
regime,CRYPTO_NEW,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,short,3,64,-0.6194,7.1298,32.9210,4.1151,-0.1505,60.94,112.773,217.049,10.9024
regime,CRYPTO_NEW,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,short,7,64,-1.1328,11.6345,54.5791,6.8224,-0.1660,65.63,229.162,261.282,17.6880
regime,CRYPTO_NEW,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,short,14,64,0.9484,17.1503,59.0761,7.3845,0.1284,67.19,268.223,284.641,20.7289
regime,CRYPTO_NEW,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,short,29,64,-6.6795,1.1552,82.6124,10.3266,-0.6468,50.00,283.818,413.889,20.4528
regime,CRYPTO_NEW,R2 BTC 30d ret,UP (>=+5%),F0 no filter,short,1,136,0.7069,4.1239,20.7764,1.7816,0.3968,65.44,50.775,141.104,4.8451
regime,CRYPTO_NEW,R2 BTC 30d ret,UP (>=+5%),F0 no filter,short,3,136,2.8127,6.8073,28.9624,2.4835,1.1326,68.38,77.621,199.778,9.2592
regime,CRYPTO_NEW,R2 BTC 30d ret,UP (>=+5%),F0 no filter,short,7,136,-9.1036,9.8123,146.2904,12.5443,-0.7257,66.91,161.386,312.320,10.4217
regime,CRYPTO_NEW,R2 BTC 30d ret,UP (>=+5%),F0 no filter,short,14,136,-12.9247,9.4442,100.2394,8.5955,-1.5037,61.03,190.135,550.239,7.5484
regime,CRYPTO_NEW,R2 BTC 30d ret,UP (>=+5%),F0 no filter,short,29,136,-22.6000,15.2989,128.3461,11.0056,-2.0535,58.09,371.513,867.104,5.0591
regime,CRYPTO_NEW,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,long,1,51,7.3438,-0.6738,34.5449,4.8372,1.5182,45.10,82.290,203.440,12.7051
regime,CRYPTO_NEW,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,long,3,51,4.7202,-0.7623,42.4979,5.9509,0.7932,47.06,133.786,324.915,12.8559
regime,CRYPTO_NEW,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,long,7,51,5.4296,-10.2768,59.4152,8.3198,0.6526,37.25,212.833,422.974,16.7269
regime,CRYPTO_NEW,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,long,14,51,0.7017,-11.0011,46.7812,6.5507,0.1071,41.18,225.849,422.974,11.1667
regime,CRYPTO_NEW,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,long,29,51,2.0402,-5.1469,47.8807,6.7046,0.3043,41.18,240.951,422.974,14.6661
regime,CRYPTO_NEW,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,long,1,64,2.9732,-2.7586,31.3989,3.9249,0.7575,40.63,90.143,217.049,8.5084
regime,CRYPTO_NEW,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,long,3,64,0.5394,-7.2098,32.9210,4.1151,0.1311,39.06,112.773,217.049,6.9748
regime,CRYPTO_NEW,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,long,7,64,1.0528,-11.7145,54.5791,6.8224,0.1543,34.38,229.162,261.282,9.8997
regime,CRYPTO_NEW,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,long,14,64,-1.0284,-17.2303,59.0761,7.3845,-0.1393,32.81,268.223,284.641,9.3173
regime,CRYPTO_NEW,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,long,29,64,6.5995,-1.2352,82.6124,10.3266,0.6391,50.00,283.818,413.889,21.7311
regime,CRYPTO_NEW,R2 BTC 30d ret,UP (>=+5%),F0 no filter,long,1,136,-0.7869,-4.2039,20.7764,1.7816,-0.4417,32.35,50.775,141.104,1.1868
regime,CRYPTO_NEW,R2 BTC 30d ret,UP (>=+5%),F0 no filter,long,3,136,-2.8927,-6.8873,28.9624,2.4835,-1.1648,31.62,77.621,199.778,0.2041
