entryH,SL,TP,maxHold,n,skipped,winRate,avgPnL,medPnL,tpCount,slCount,timeoutCount,timeoutWin,timeoutLoss,timeoutRate,bothTouched
6,25,5,3,485,0,65.15,-0.249,4.960,249,39,197,67,130,40.6,1
6,25,5,7,485,0,68.66,-0.365,4.960,291,43,151,42,109,31.1,1
6,25,5,14,485,0,70.31,-0.076,4.960,326,48,111,15,96,22.9,1
6,25,8,3,485,0,60.21,0.054,1.880,199,48,238,93,145,49.1,1
6,25,8,7,485,0,62.47,-0.123,4.319,233,55,197,70,127,40.6,1
6,25,8,14,485,0,63.09,0.135,7.960,261,62,162,45,117,33.4,1
6,25,10,3,485,0,56.91,-0.294,1.137,157,59,269,119,150,55.5,1
6,25,10,7,485,0,58.56,-0.372,2.485,202,67,216,82,134,44.5,1
6,25,10,14,485,0,58.35,-0.185,4.216,225,76,184,58,126,37.9,1
6,25,15,3,485,0,53.40,0.123,0.507,120,66,299,139,160,61.6,0
6,25,15,7,485,0,55.67,0.185,1.390,151,76,258,119,139,53.2,0
6,25,15,14,485,0,55.05,0.528,2.072,172,86,227,95,132,46.8,0
6,25,20,3,485,0,52.16,0.431,0.326,97,72,316,156,160,65.2,0
6,25,20,7,485,0,52.99,0.252,0.807,116,85,284,141,143,58.6,0
6,25,20,14,485,0,52.16,0.612,0.684,132,97,256,121,135,52.8,0
6,25,30,3,485,0,48.66,0.051,-0.138,60,86,339,176,163,69.9,0
6,25,30,7,485,0,49.28,0.086,-0.239,75,101,309,164,145,63.7,0
6,25,30,14,485,0,48.04,0.537,-0.583,90,115,280,143,137,57.7,0
6,30,3,3,485,0,70.93,-0.487,2.960,309,25,151,35,116,31.1,1
6,30,3,7,485,0,76.70,-0.459,2.960,354,27,104,18,86,21.4,1
6,30,3,14,485,0,79.38,-0.202,2.960,380,29,76,5,71,15.7,1
6,30,5,3,485,0,65.77,-0.404,4.960,252,35,198,67,131,40.8,1
6,30,5,7,485,0,69.28,-0.536,4.960,294,38,153,42,111,31.5,1
6,30,5,14,485,0,71.13,-0.200,4.960,330,42,113,15,98,23.3,2
